comparison_panel_configurations,excluded_model_group,panel_solving_configurations,stratum,task_name
26,gpt-5-6,20,common,pebble-durability-wait-apis
26,gpt-5-6,15,contested,pest-character-class-coalescing
26,gpt-5-6,14,contested,prometheus-transactional-reload-status
26,gpt-5-6,20,common,prometheus-typed-label-sorting
26,gpt-5-6,25,common,psd-tools-blend-range-api
26,gpt-5-6,15,contested,pwntools-tube-multiplexing
26,gpt-5-6,17,contested,python-statemachine-state-data-scoping
26,gpt-5-6,25,common,query-persist-restored-query-state
26,gpt-5-6,15,contested,quill-shared-toolbar-focus
26,gpt-5-6,24,common,returns-validated-error-accumulation
26,gpt-5-6,24,common,scc-bounded-memory-spilling
26,gpt-5-6,20,common,scriggo-method-declarations
26,gpt-5-6,23,common,skrub-duration-encoding
26,gpt-5-6,26,common,sql-formatter-bigquery-pipe-formatting
26,gpt-5-6,19,contested,sqlfmt-create-table-ddl-formatting
26,gpt-5-6,20,common,sqlite-utils-safe-import-checkpoints
26,gpt-5-6,9,rare,superjson-error-stack-serialization
26,gpt-5-6,24,common,task-task-graph-export
26,gpt-5-6,22,common,tengo-callable-instance-isolation
26,gpt-5-6,17,contested,tengo-destructuring-bindings
26,gpt-5-6,12,rare,termenv-preserve-ansi-resets
26,gpt-5-6,12,rare,testem-bail-on-test-failure
26,gpt-5-6,22,common,testem-per-launcher-reports
26,gpt-5-6,16,contested,textual-kitty-key-phases
26,gpt-5-6,22,common,textual-richlog-follow-state
26,gpt-5-6,23,common,tomlkit-toml-table-converters
26,gpt-5-6,26,common,true-myth-iterable-collection-combinators
26,gpt-5-6,26,common,ts-pattern-match-each
26,gpt-5-6,2,rare,updo-policy-alerting
26,gpt-5-6,22,common,valibot-recursive-schema-composition
26,gpt-5-6,24,common,vitest-duration-sharding
26,gpt-5-6,17,contested,vulture-persistent-analysis-cache
26,gpt-5-6,22,common,wasmi-trap-coredumps
26,gpt-5-6,24,common,wazero-multi-module-snapshots
26,gpt-5-6,26,common,yaegi-go-embed-directives
26,gpt-5-6,25,common,yjs-map-conflict-detection
26,gpt-5-6,25,common,ytt-jsonpath-query-api
