comparison_panel_configurations,panel_solving_configurations,stratum,target_model_family,task_name
36,30,common,claude-fable-5,tengo-callable-instance-isolation
36,23,contested,claude-fable-5,tengo-destructuring-bindings
36,17,rare,claude-fable-5,termenv-preserve-ansi-resets
36,8,rare,claude-fable-5,testem-bail-on-test-failure
36,27,contested,claude-fable-5,testem-per-launcher-reports
36,17,rare,claude-fable-5,textual-kitty-key-phases
36,30,common,claude-fable-5,textual-richlog-follow-state
36,26,contested,claude-fable-5,tomlkit-toml-table-converters
36,35,common,claude-fable-5,true-myth-iterable-collection-combinators
36,35,common,claude-fable-5,ts-pattern-match-each
36,11,rare,claude-fable-5,updo-policy-alerting
36,30,common,claude-fable-5,valibot-recursive-schema-composition
36,31,common,claude-fable-5,vitest-duration-sharding
36,28,common,claude-fable-5,vulture-persistent-analysis-cache
36,25,contested,claude-fable-5,wasmi-trap-coredumps
36,34,common,claude-fable-5,wazero-multi-module-snapshots
36,35,common,claude-fable-5,yaegi-go-embed-directives
36,33,common,claude-fable-5,yjs-map-conflict-detection
36,34,common,claude-fable-5,ytt-jsonpath-query-api
36,32,common,claude-opus-4-8,abs-module-cache-flags
36,31,common,claude-opus-4-8,abs-stepped-slices
36,35,common,claude-opus-4-8,actionlint-action-pinning-lint
36,26,contested,claude-opus-4-8,adaptix-name-mapping-aliases
36,28,common,claude-opus-4-8,aiomonitor-task-snapshots-diff
36,32,common,claude-opus-4-8,anko-default-function-arguments
36,23,contested,claude-opus-4-8,anko-typed-variable-bindings
36,31,common,claude-opus-4-8,arcane-drift-detection-baselines
36,26,contested,claude-opus-4-8,arktype-json-schema-refs-dependencies
36,26,contested,claude-opus-4-8,awilix-async-container-initialization
36,24,contested,claude-opus-4-8,bandit-incremental-cache-control
36,27,contested,claude-opus-4-8,bandit-interprocedural-taint-checks
36,6,rare,claude-opus-4-8,bandit-structured-nosec-directives
36,25,contested,claude-opus-4-8,boa-hierarchical-evaluation-cancellation
36,31,common,claude-opus-4-8,cattrs-partial-structuring-recovery
36,20,contested,claude-opus-4-8,clack-async-autocomplete-options
36,33,common,claude-opus-4-8,claude-code-by-agents-recursive-delegation
36,27,contested,claude-opus-4-8,cliffy-config-file-parsing
36,19,contested,claude-opus-4-8,csstree-shorthand-expansion-compression
36,22,contested,claude-opus-4-8,dasel-html-document-format
36,20,contested,claude-opus-4-8,dateutil-rfc5545-timezone-interop
36,34,common,claude-opus-4-8,drizzle-orm-window-function-builders
36,30,common,claude-opus-4-8,dynamodb-toolbox-conditional-attribute-requirements
36,29,common,claude-opus-4-8,dynamodb-toolbox-lazy-recursive-schemas
36,16,rare,claude-opus-4-8,effect-sse-httpapi-streaming
36,17,rare,claude-opus-4-8,eicrud-keyset-pagination-cursor
36,29,common,claude-opus-4-8,etree-xml-diff-patch
36,18,rare,claude-opus-4-8,expr-try-catch-errors
36,29,common,claude-opus-4-8,fastapi-deprecation-response-headers
36,28,common,claude-opus-4-8,fastapi-implicit-head-options
36,31,common,claude-opus-4-8,fd-deterministic-multi-key-sorting
36,34,common,claude-opus-4-8,geo-shapeindex-serialization
36,29,common,claude-opus-4-8,go-critic-doc-link-checker
36,31,common,claude-opus-4-8,go-genai-streamed-function-args
36,28,common,claude-opus-4-8,go-git-worktree-merge-conflicts
36,35,common,claude-opus-4-8,goreleaser-retry-publish-auditing
36,3,rare,claude-opus-4-8,gql-incremental-graphql-delivery
36,35,common,claude-opus-4-8,happy-dom-abort-pending-body-reads
36,23,contested,claude-opus-4-8,happy-dom-deterministic-intersectionobserver
36,9,rare,claude-opus-4-8,helm-array-merge-strategies
36,33,common,claude-opus-4-8,helm-unified-manifest-stream
36,34,common,claude-opus-4-8,httpx-deterministic-cookie-store
36,32,common,claude-opus-4-8,httpx-multipart-response-parsing
36,29,common,claude-opus-4-8,httpx-streaming-json-iteration
36,26,contested,claude-opus-4-8,igel-persist-feature-schema
36,27,contested,claude-opus-4-8,ink-grid-box-layout
36,31,common,claude-opus-4-8,ipython-session-bundle-replay
36,20,contested,claude-opus-4-8,katex-multicolumn-array-spans
36,34,common,claude-opus-4-8,kcp-go-multiplexed-kcp-streams
36,19,contested,claude-opus-4-8,kea-atomic-signal-selectors
36,21,contested,claude-opus-4-8,kgateway-consistent-hash-policy
36,26,contested,claude-opus-4-8,kombu-single-active-consumer-priority
36,11,rare,claude-opus-4-8,kombu-virtual-queue-dead-lettering
36,20,contested,claude-opus-4-8,koota-composite-trait-aspects
36,18,rare,claude-opus-4-8,koota-deferred-mutation-buffer
36,32,common,claude-opus-4-8,koota-entity-snapshot-rollback
36,14,rare,claude-opus-4-8,koota-pair-relation-tracking
36,12,rare,claude-opus-4-8,koota-query-predicates
36,30,common,claude-opus-4-8,kysely-window-grouping-helpers
36,25,contested,claude-opus-4-8,langchain-request-coalescing
36,29,common,claude-opus-4-8,mashumaro-flattened-dataclass-fields
36,19,contested,claude-opus-4-8,meriyah-explicit-resource-declarations
36,27,contested,claude-opus-4-8,mnamer-daemon-watch-lifecycle
36,27,contested,claude-opus-4-8,mobly-grouped-test-barriers
36,33,common,claude-opus-4-8,narwhals-rolling-window-suite
36,29,common,claude-opus-4-8,numba-stencil-boundary-modes
36,1,rare,claude-opus-4-8,obsidian-linter-auto-table-of-contents
36,25,contested,claude-opus-4-8,obsidian-linter-link-format-conversion
36,31,common,claude-opus-4-8,obsidian-linter-scoped-ignore-markers
36,34,common,claude-opus-4-8,ofetch-per-origin-circuit-breaker
36,20,contested,claude-opus-4-8,onedump-dump-encryption-pipeline
36,31,common,claude-opus-4-8,opa-rego-rule-profiling
36,29,common,claude-opus-4-8,opa-template-string-reconstruction
36,19,contested,claude-opus-4-8,optique-conditional-option-dependencies
36,10,rare,claude-opus-4-8,oxvg-structural-selector-preservation
36,17,rare,claude-opus-4-8,participle-grammar-conflict-analysis
36,26,contested,claude-opus-4-8,pebble-durability-wait-apis
36,12,rare,claude-opus-4-8,pest-character-class-coalescing
36,21,contested,claude-opus-4-8,prometheus-transactional-reload-status
36,28,common,claude-opus-4-8,prometheus-typed-label-sorting
36,32,common,claude-opus-4-8,psd-tools-blend-range-api
36,21,contested,claude-opus-4-8,pwntools-tube-multiplexing
36,20,contested,claude-opus-4-8,python-statemachine-state-data-scoping
36,35,common,claude-opus-4-8,query-persist-restored-query-state
36,21,contested,claude-opus-4-8,quill-shared-toolbar-focus
36,32,common,claude-opus-4-8,returns-validated-error-accumulation
36,32,common,claude-opus-4-8,scc-bounded-memory-spilling
36,24,contested,claude-opus-4-8,scriggo-method-declarations
36,27,contested,claude-opus-4-8,skrub-duration-encoding
36,34,common,claude-opus-4-8,sql-formatter-bigquery-pipe-formatting
36,21,contested,claude-opus-4-8,sqlfmt-create-table-ddl-formatting
36,27,contested,claude-opus-4-8,sqlite-utils-safe-import-checkpoints
36,21,contested,claude-opus-4-8,superjson-error-stack-serialization
36,33,common,claude-opus-4-8,task-task-graph-export
36,31,common,claude-opus-4-8,tengo-callable-instance-isolation
36,24,contested,claude-opus-4-8,tengo-destructuring-bindings
36,22,contested,claude-opus-4-8,termenv-preserve-ansi-resets
36,11,rare,claude-opus-4-8,testem-bail-on-test-failure
36,27,contested,claude-opus-4-8,testem-per-launcher-reports
36,18,rare,claude-opus-4-8,textual-kitty-key-phases
36,30,common,claude-opus-4-8,textual-richlog-follow-state
36,26,contested,claude-opus-4-8,tomlkit-toml-table-converters
36,35,common,claude-opus-4-8,true-myth-iterable-collection-combinators
36,35,common,claude-opus-4-8,ts-pattern-match-each
36,11,rare,claude-opus-4-8,updo-policy-alerting
36,30,common,claude-opus-4-8,valibot-recursive-schema-composition
36,31,common,claude-opus-4-8,vitest-duration-sharding
36,27,contested,claude-opus-4-8,vulture-persistent-analysis-cache
36,25,contested,claude-opus-4-8,wasmi-trap-coredumps
36,34,common,claude-opus-4-8,wazero-multi-module-snapshots
36,35,common,claude-opus-4-8,yaegi-go-embed-directives
36,33,common,claude-opus-4-8,yjs-map-conflict-detection
36,34,common,claude-opus-4-8,ytt-jsonpath-query-api
40,36,common,claude-sonnet-4-6,abs-module-cache-flags
40,36,common,claude-sonnet-4-6,abs-stepped-slices
40,39,common,claude-sonnet-4-6,actionlint-action-pinning-lint
40,30,contested,claude-sonnet-4-6,adaptix-name-mapping-aliases
40,33,common,claude-sonnet-4-6,aiomonitor-task-snapshots-diff
40,36,common,claude-sonnet-4-6,anko-default-function-arguments
40,27,contested,claude-sonnet-4-6,anko-typed-variable-bindings
40,36,common,claude-sonnet-4-6,arcane-drift-detection-baselines
40,31,common,claude-sonnet-4-6,arktype-json-schema-refs-dependencies
40,26,contested,claude-sonnet-4-6,awilix-async-container-initialization
40,29,contested,claude-sonnet-4-6,bandit-incremental-cache-control
40,32,common,claude-sonnet-4-6,bandit-interprocedural-taint-checks
40,6,rare,claude-sonnet-4-6,bandit-structured-nosec-directives
40,30,contested,claude-sonnet-4-6,boa-hierarchical-evaluation-cancellation
40,34,common,claude-sonnet-4-6,cattrs-partial-structuring-recovery
40,23,contested,claude-sonnet-4-6,clack-async-autocomplete-options
40,37,common,claude-sonnet-4-6,claude-code-by-agents-recursive-delegation
40,30,contested,claude-sonnet-4-6,cliffy-config-file-parsing
40,21,contested,claude-sonnet-4-6,csstree-shorthand-expansion-compression
40,26,contested,claude-sonnet-4-6,dasel-html-document-format
40,23,contested,claude-sonnet-4-6,dateutil-rfc5545-timezone-interop
40,38,common,claude-sonnet-4-6,drizzle-orm-window-function-builders
40,34,common,claude-sonnet-4-6,dynamodb-toolbox-conditional-attribute-requirements
40,33,common,claude-sonnet-4-6,dynamodb-toolbox-lazy-recursive-schemas
40,17,rare,claude-sonnet-4-6,effect-sse-httpapi-streaming
40,19,rare,claude-sonnet-4-6,eicrud-keyset-pagination-cursor
40,33,common,claude-sonnet-4-6,etree-xml-diff-patch
40,20,rare,claude-sonnet-4-6,expr-try-catch-errors
40,31,common,claude-sonnet-4-6,fastapi-deprecation-response-headers
40,33,common,claude-sonnet-4-6,fastapi-implicit-head-options
40,33,common,claude-sonnet-4-6,fd-deterministic-multi-key-sorting
40,36,common,claude-sonnet-4-6,geo-shapeindex-serialization
40,32,common,claude-sonnet-4-6,go-critic-doc-link-checker
40,35,common,claude-sonnet-4-6,go-genai-streamed-function-args
40,32,common,claude-sonnet-4-6,go-git-worktree-merge-conflicts
40,39,common,claude-sonnet-4-6,goreleaser-retry-publish-auditing
40,4,rare,claude-sonnet-4-6,gql-incremental-graphql-delivery
40,39,common,claude-sonnet-4-6,happy-dom-abort-pending-body-reads
40,24,contested,claude-sonnet-4-6,happy-dom-deterministic-intersectionobserver
40,13,rare,claude-sonnet-4-6,helm-array-merge-strategies
40,37,common,claude-sonnet-4-6,helm-unified-manifest-stream
40,38,common,claude-sonnet-4-6,httpx-deterministic-cookie-store
40,35,common,claude-sonnet-4-6,httpx-multipart-response-parsing
40,31,common,claude-sonnet-4-6,httpx-streaming-json-iteration
40,31,common,claude-sonnet-4-6,igel-persist-feature-schema
40,28,contested,claude-sonnet-4-6,ink-grid-box-layout
40,34,common,claude-sonnet-4-6,ipython-session-bundle-replay
40,23,contested,claude-sonnet-4-6,katex-multicolumn-array-spans
40,37,common,claude-sonnet-4-6,kcp-go-multiplexed-kcp-streams
40,23,contested,claude-sonnet-4-6,kea-atomic-signal-selectors
40,25,contested,claude-sonnet-4-6,kgateway-consistent-hash-policy
40,31,common,claude-sonnet-4-6,kombu-single-active-consumer-priority
40,15,rare,claude-sonnet-4-6,kombu-virtual-queue-dead-lettering
40,22,contested,claude-sonnet-4-6,koota-composite-trait-aspects
40,19,rare,claude-sonnet-4-6,koota-deferred-mutation-buffer
40,36,common,claude-sonnet-4-6,koota-entity-snapshot-rollback
40,15,rare,claude-sonnet-4-6,koota-pair-relation-tracking
40,17,rare,claude-sonnet-4-6,koota-query-predicates
40,34,common,claude-sonnet-4-6,kysely-window-grouping-helpers
40,27,contested,claude-sonnet-4-6,langchain-request-coalescing
40,28,contested,claude-sonnet-4-6,mashumaro-flattened-dataclass-fields
40,19,rare,claude-sonnet-4-6,meriyah-explicit-resource-declarations
40,30,contested,claude-sonnet-4-6,mnamer-daemon-watch-lifecycle
40,32,common,claude-sonnet-4-6,mobly-grouped-test-barriers
40,37,common,claude-sonnet-4-6,narwhals-rolling-window-suite
40,33,common,claude-sonnet-4-6,numba-stencil-boundary-modes
40,1,rare,claude-sonnet-4-6,obsidian-linter-auto-table-of-contents
40,27,contested,claude-sonnet-4-6,obsidian-linter-link-format-conversion
40,36,common,claude-sonnet-4-6,obsidian-linter-scoped-ignore-markers
40,38,common,claude-sonnet-4-6,ofetch-per-origin-circuit-breaker
40,24,contested,claude-sonnet-4-6,onedump-dump-encryption-pipeline
40,36,common,claude-sonnet-4-6,opa-rego-rule-profiling
40,33,common,claude-sonnet-4-6,opa-template-string-reconstruction
40,21,contested,claude-sonnet-4-6,optique-conditional-option-dependencies
40,10,rare,claude-sonnet-4-6,oxvg-structural-selector-preservation
40,19,rare,claude-sonnet-4-6,participle-grammar-conflict-analysis
40,30,contested,claude-sonnet-4-6,pebble-durability-wait-apis
40,16,rare,claude-sonnet-4-6,pest-character-class-coalescing
40,20,rare,claude-sonnet-4-6,prometheus-transactional-reload-status
40,32,common,claude-sonnet-4-6,prometheus-typed-label-sorting
40,37,common,claude-sonnet-4-6,psd-tools-blend-range-api
40,25,contested,claude-sonnet-4-6,pwntools-tube-multiplexing
40,20,rare,claude-sonnet-4-6,python-statemachine-state-data-scoping
40,39,common,claude-sonnet-4-6,query-persist-restored-query-state
40,25,contested,claude-sonnet-4-6,quill-shared-toolbar-focus
40,36,common,claude-sonnet-4-6,returns-validated-error-accumulation
40,37,common,claude-sonnet-4-6,scc-bounded-memory-spilling
40,28,contested,claude-sonnet-4-6,scriggo-method-declarations
40,31,common,claude-sonnet-4-6,skrub-duration-encoding
40,38,common,claude-sonnet-4-6,sql-formatter-bigquery-pipe-formatting
40,24,contested,claude-sonnet-4-6,sqlfmt-create-table-ddl-formatting
40,31,common,claude-sonnet-4-6,sqlite-utils-safe-import-checkpoints
40,22,contested,claude-sonnet-4-6,superjson-error-stack-serialization
40,37,common,claude-sonnet-4-6,task-task-graph-export
40,35,common,claude-sonnet-4-6,tengo-callable-instance-isolation
40,28,contested,claude-sonnet-4-6,tengo-destructuring-bindings
40,22,contested,claude-sonnet-4-6,termenv-preserve-ansi-resets
40,13,rare,claude-sonnet-4-6,testem-bail-on-test-failure
40,31,common,claude-sonnet-4-6,testem-per-launcher-reports
40,22,contested,claude-sonnet-4-6,textual-kitty-key-phases
40,34,common,claude-sonnet-4-6,textual-richlog-follow-state
40,30,contested,claude-sonnet-4-6,tomlkit-toml-table-converters
40,39,common,claude-sonnet-4-6,true-myth-iterable-collection-combinators
40,39,common,claude-sonnet-4-6,ts-pattern-match-each
40,11,rare,claude-sonnet-4-6,updo-policy-alerting
40,35,common,claude-sonnet-4-6,valibot-recursive-schema-composition
40,35,common,claude-sonnet-4-6,vitest-duration-sharding
40,28,contested,claude-sonnet-4-6,vulture-persistent-analysis-cache
40,29,contested,claude-sonnet-4-6,wasmi-trap-coredumps
40,38,common,claude-sonnet-4-6,wazero-multi-module-snapshots
40,39,common,claude-sonnet-4-6,yaegi-go-embed-directives
40,37,common,claude-sonnet-4-6,yjs-map-conflict-detection
40,38,common,claude-sonnet-4-6,ytt-jsonpath-query-api
36,32,common,claude-sonnet-5,abs-module-cache-flags
36,33,common,claude-sonnet-5,abs-stepped-slices
36,35,common,claude-sonnet-5,actionlint-action-pinning-lint
36,27,contested,claude-sonnet-5,adaptix-name-mapping-aliases
36,28,common,claude-sonnet-5,aiomonitor-task-snapshots-diff
36,32,common,claude-sonnet-5,anko-default-function-arguments
36,24,contested,claude-sonnet-5,anko-typed-variable-bindings
36,31,common,claude-sonnet-5,arcane-drift-detection-baselines
36,27,contested,claude-sonnet-5,arktype-json-schema-refs-dependencies
36,24,contested,claude-sonnet-5,awilix-async-container-initialization
36,26,contested,claude-sonnet-5,bandit-incremental-cache-control
36,27,contested,claude-sonnet-5,bandit-interprocedural-taint-checks
36,3,rare,claude-sonnet-5,bandit-structured-nosec-directives
36,30,common,claude-sonnet-5,boa-hierarchical-evaluation-cancellation
36,33,common,claude-sonnet-5,cattrs-partial-structuring-recovery
36,20,contested,claude-sonnet-5,clack-async-autocomplete-options
36,35,common,claude-sonnet-5,claude-code-by-agents-recursive-delegation
36,26,contested,claude-sonnet-5,cliffy-config-file-parsing
36,19,contested,claude-sonnet-5,csstree-shorthand-expansion-compression
36,22,contested,claude-sonnet-5,dasel-html-document-format
36,22,contested,claude-sonnet-5,dateutil-rfc5545-timezone-interop
36,34,common,claude-sonnet-5,drizzle-orm-window-function-builders
36,30,common,claude-sonnet-5,dynamodb-toolbox-conditional-attribute-requirements
36,30,common,claude-sonnet-5,dynamodb-toolbox-lazy-recursive-schemas
36,15,rare,claude-sonnet-5,effect-sse-httpapi-streaming
36,20,contested,claude-sonnet-5,eicrud-keyset-pagination-cursor
36,30,common,claude-sonnet-5,etree-xml-diff-patch
36,20,contested,claude-sonnet-5,expr-try-catch-errors
36,30,common,claude-sonnet-5,fastapi-deprecation-response-headers
36,29,common,claude-sonnet-5,fastapi-implicit-head-options
36,29,common,claude-sonnet-5,fd-deterministic-multi-key-sorting
36,32,common,claude-sonnet-5,geo-shapeindex-serialization
36,30,common,claude-sonnet-5,go-critic-doc-link-checker
36,31,common,claude-sonnet-5,go-genai-streamed-function-args
36,28,common,claude-sonnet-5,go-git-worktree-merge-conflicts
36,35,common,claude-sonnet-5,goreleaser-retry-publish-auditing
36,3,rare,claude-sonnet-5,gql-incremental-graphql-delivery
36,35,common,claude-sonnet-5,happy-dom-abort-pending-body-reads
36,19,contested,claude-sonnet-5,happy-dom-deterministic-intersectionobserver
36,12,rare,claude-sonnet-5,helm-array-merge-strategies
36,33,common,claude-sonnet-5,helm-unified-manifest-stream
36,34,common,claude-sonnet-5,httpx-deterministic-cookie-store
36,32,common,claude-sonnet-5,httpx-multipart-response-parsing
36,27,contested,claude-sonnet-5,httpx-streaming-json-iteration
36,26,contested,claude-sonnet-5,igel-persist-feature-schema
36,23,contested,claude-sonnet-5,ink-grid-box-layout
36,29,common,claude-sonnet-5,ipython-session-bundle-replay
36,21,contested,claude-sonnet-5,katex-multicolumn-array-spans
36,33,common,claude-sonnet-5,kcp-go-multiplexed-kcp-streams
36,20,contested,claude-sonnet-5,kea-atomic-signal-selectors
36,21,contested,claude-sonnet-5,kgateway-consistent-hash-policy
36,31,common,claude-sonnet-5,kombu-single-active-consumer-priority
36,13,rare,claude-sonnet-5,kombu-virtual-queue-dead-lettering
36,19,contested,claude-sonnet-5,koota-composite-trait-aspects
36,18,rare,claude-sonnet-5,koota-deferred-mutation-buffer
36,32,common,claude-sonnet-5,koota-entity-snapshot-rollback
36,12,rare,claude-sonnet-5,koota-pair-relation-tracking
36,14,rare,claude-sonnet-5,koota-query-predicates
36,32,common,claude-sonnet-5,kysely-window-grouping-helpers
36,27,contested,claude-sonnet-5,langchain-request-coalescing
36,25,contested,claude-sonnet-5,mashumaro-flattened-dataclass-fields
36,18,rare,claude-sonnet-5,meriyah-explicit-resource-declarations
36,27,contested,claude-sonnet-5,mnamer-daemon-watch-lifecycle
36,27,contested,claude-sonnet-5,mobly-grouped-test-barriers
36,33,common,claude-sonnet-5,narwhals-rolling-window-suite
36,31,common,claude-sonnet-5,numba-stencil-boundary-modes
36,1,rare,claude-sonnet-5,obsidian-linter-auto-table-of-contents
36,23,contested,claude-sonnet-5,obsidian-linter-link-format-conversion
36,31,common,claude-sonnet-5,obsidian-linter-scoped-ignore-markers
36,33,common,claude-sonnet-5,ofetch-per-origin-circuit-breaker
36,20,contested,claude-sonnet-5,onedump-dump-encryption-pipeline
36,31,common,claude-sonnet-5,opa-rego-rule-profiling
36,30,common,claude-sonnet-5,opa-template-string-reconstruction
36,20,contested,claude-sonnet-5,optique-conditional-option-dependencies
36,9,rare,claude-sonnet-5,oxvg-structural-selector-preservation
36,19,contested,claude-sonnet-5,participle-grammar-conflict-analysis
36,27,contested,claude-sonnet-5,pebble-durability-wait-apis
36,15,rare,claude-sonnet-5,pest-character-class-coalescing
36,17,rare,claude-sonnet-5,prometheus-transactional-reload-status
36,31,common,claude-sonnet-5,prometheus-typed-label-sorting
36,32,common,claude-sonnet-5,psd-tools-blend-range-api
36,22,contested,claude-sonnet-5,pwntools-tube-multiplexing
36,18,rare,claude-sonnet-5,python-statemachine-state-data-scoping
36,35,common,claude-sonnet-5,query-persist-restored-query-state
36,20,contested,claude-sonnet-5,quill-shared-toolbar-focus
36,32,common,claude-sonnet-5,returns-validated-error-accumulation
36,33,common,claude-sonnet-5,scc-bounded-memory-spilling
36,24,contested,claude-sonnet-5,scriggo-method-declarations
36,27,contested,claude-sonnet-5,skrub-duration-encoding
36,34,common,claude-sonnet-5,sql-formatter-bigquery-pipe-formatting
36,22,contested,claude-sonnet-5,sqlfmt-create-table-ddl-formatting
36,32,common,claude-sonnet-5,sqlite-utils-safe-import-checkpoints
36,19,contested,claude-sonnet-5,superjson-error-stack-serialization
36,35,common,claude-sonnet-5,task-task-graph-export
36,31,common,claude-sonnet-5,tengo-callable-instance-isolation
36,26,contested,claude-sonnet-5,tengo-destructuring-bindings
36,20,contested,claude-sonnet-5,termenv-preserve-ansi-resets
36,10,rare,claude-sonnet-5,testem-bail-on-test-failure
36,29,common,claude-sonnet-5,testem-per-launcher-reports
36,19,contested,claude-sonnet-5,textual-kitty-key-phases
36,31,common,claude-sonnet-5,textual-richlog-follow-state
36,26,contested,claude-sonnet-5,tomlkit-toml-table-converters
36,35,common,claude-sonnet-5,true-myth-iterable-collection-combinators
36,35,common,claude-sonnet-5,ts-pattern-match-each
36,11,rare,claude-sonnet-5,updo-policy-alerting
36,31,common,claude-sonnet-5,valibot-recursive-schema-composition
36,32,common,claude-sonnet-5,vitest-duration-sharding
36,24,contested,claude-sonnet-5,vulture-persistent-analysis-cache
36,26,contested,claude-sonnet-5,wasmi-trap-coredumps
36,35,common,claude-sonnet-5,wazero-multi-module-snapshots
36,35,common,claude-sonnet-5,yaegi-go-embed-directives
36,33,common,claude-sonnet-5,yjs-map-conflict-detection
